ITIa	Itivuttaka Aṭṭhakathā, Paramatthadīpanī			
JA	Jātaka			Books 14 and 15 of the Khuddaka Nikāya; birth stories
JAa	Jātaka Aṭṭhakathā			Commentary to Jātaka compiled by Ven. Buddhaghosa; part of  “Illumination of the Ultimate Truth”
KHPa	Khuddakapāṭha Aṭṭhakathā, Paramatthajotikā			
KMt	Khuddasikkhā Mūlasikkhā, Vinaya sub-commentary			
KP	Khuddaka Pāṭha			Books 1 of the Khuddaka Nikāya; lit. small passage
KPa	Khuddakapāṭha Aṭṭhakathā			
KV	Kathāvatthupāḷi			
KVa	Kaṅkhāvitaraṇīaṭṭhakathā			Commentary to the Pāṭimokkha, Vinayapiṭaka, compiled by Ven. Buddhaghosa
KVt	Kaṅkhāvitaraṇī Purāṇaṭīkā and Kaṅkhāvitaraṇī Abhinavaṭīkā, Vinaya sub-commentary			
LDA	The Law of Dependent Arising by Kaṭukurunde Ñāṇananda			
lit	literal meaning			Limited to the explicit meaning of a word or parts from which the word has been constructed.
loc	locative case	sattamī, bhummavacana, okāsa, ādhāra	amhesu - pron, 1st <b>loc</b> pl of ahaṃ	showing place (in, on, at, among)<br/>(e.g. in us; among us)
loc abs	locative absolute construction		asante hārake; atthaṅgate sūriye	When a noun or a pronoun in the locative case is used with a participle in the same case as itself, the construction is called locative absolute. It can be translated as when, while, since, or as.
masc	masculine noun	puma; pulliṅga	bhikkhu; dhamma; loka	
matr	matronymic		sāriputta; mantāṇiputta; vedehiputta	Pointing on the origin of the name. Very often name derived from the name of the mother or a maternal ancestor (e.g. son of Sāri; son of Mantāṇī; son of Vedehi)
MIL	Milindapañha			Book 19 of the Khuddaka Nikāya; the “Questions of Milinda”
MLDB	Middle Length Discourses of the Buddha, translated by Bhikkhu Bodhi			Book 19 of the Khuddaka Nikāya; the “Questions of Milinda”
MN	Majjhimā Nikāya			Book 2 of the Sutta Piṭaka; Collection of Middle-length Discourses; lit. middle collection 
MNa	Majjhimā Nikāya Aṭṭhakathā, Papañcasūdanī			Commentary on the Majjhima Nikāya compiled by Ven. Buddhaghosa; “Destruction of Obstacles [to Progress]”; lit. setting mental proliferation in order
MNt	Majjhima Nikāya Ṭīkā			
MOGG	Moggallāna Byākaraṇaṃ			
MW	Monier-Williams Sanskrit-English Dictionary			"<a class=""link"" href=""https://www.sanskrit-lexicon.uni-koeln.de/scans/MW72Scan/2020/web/index.php"">web-link</a>"
NDB	The Numerical Discourses of the Buddha: A Complete Translation of the Anguttara Nikaya by Bhikkhu Bodhi			
neg	negative	avya sadda	na	express negation or opposite meaning
neut	neuter noun			
NIDD1	Mahāniddesa			Book 16 of the Khuddaka Nikāya; canonical commentary on the Aṭṭhakavagga of the Sutta Nipāta; lit. great detailed analysis
NIDD1a	Mahāniddesa Aṭṭhakathā			Commentary to Mahāniddesa
NIDD2	Cūḷaniddesa			Book 17 of the Khuddaka Nikāya; canonical commentary on the Pārāyanavagga of the Sutta Nipāta; lit. smaller detailed analysis
NIDD2a	Cūḷaniddesa Aṭṭhakathā			
NMS	Nibbana: The Mind Stilled by Kaṭukurunde Ñāṇananda			
nom	nominative case	paṭhamā, paccattavacana	tuvaṃ - pron, 2nd <b>nom</b> sg of tvaṃ	The category of nouns serving as the grammatical subject of a verb
noun	noun; substantive	nāma; nāmanāma	samaṇa; purisa; paṭipadā	A content word that can be used to refer to a person, place, thing, quality, or action; the word class that can serve as the subject or object of a verb, the object of a preposition, or in apposition (e.g. recluse; man; method)
NP	Nettippakaraṇapāḷi			
NPa	Nettippakaraṇa Aṭṭhakathā			
NPt	Nettippakaraṇa Ṭīkā			
nt	neuter noun	napuṃsaka; napuṁsakaliṅga	citta, rūpa, viññāṇa	
onom	onomatopoeia		capucapu, sū, surusuru	Using words that imitate the sound they denote
opt	optative mood	sattamī	siyā; gaccheyya; uddiseyya	A mood that expresses a wish, probability, advice or capability; expressed in English by modal verbs (should / could / may / might)
ordin	ordinal number	saṅkhyāpūraṇa	paṭhama; dutiya; tatiya	The number designating place in an ordered sequence (e.g. first; second; third)
pass	passive verb	kamma; kammakāraka	pahīyati; vuccati; paññāyati	The voice used to indicate that the grammatical subject of the verb is the recipient (not the source) of the action denoted by the verb (e.g. is abandoned; is said; is clearly known)
patr	patronymic		kassapa; bhāradvāja; kaccāna	Pointing on the origin of the name. Very often name derived from name of the father or a paternal ancestor  (e.g. descendant of Kassapa; descended from Bharadvāja; descendant of Kati)
PDB	Princeton Dictionary of Buddhism			
PED	Pāli English Dictionary, published by the Pāli Text Society			"<a class=""link"" href=""https://dsal.uchicago.edu/dictionaries/pali/"">web-link</a>"
perf	perfect past tense	parokkhā	āha; āhaṃsu; pāva	express something that happened a long time ago, a completed action, something you personally did not witness.
Perniola	Pali Grammar by V.Perniola			"<a class=""link"" href=""https://archive.org/details/PaliGrammarVitoPerniola"">read online</a>"
pl	plural number	bahuvacana	tumhe - pron, 2nd nom <b>pl</b> of tvaṃ	The form of a word that is used to denote more than one
PM	Paṭisambhidā Magga			Book 18 of the Khuddaka Nikāya; Path to Analytical Knowledge
PMa	Paṭisambhidāmagga aṭṭhakathā, Saddhammappakāsinī			
pos	part of speech	pada		One of the traditional categories of words intended to reflect their functions in a grammatical context
pp	past participle	krudanta	vutta; nisinna; suta	Verbal adjective which describes the action that a noun did (in the past) (e.g. have said; have seated; have heard)
PP	Puggalapaññattipāḷi			
PPa	Puggalapaññatti aṭṭhakathā			Commentary to Puggalapaññatti
pr	present tense	vattamānā; vattamānakāla	viharati; uppajjati; passati	A verb tense that expresses actions or states at the time of speaking (e.g. lives; appears; sees)
prefix	prefix	upasagga	ā-; abhi-; nī-	An affix that is added in front of the word
prep	preposition	nipāta; avyaya	saddhiṃ; purato; anto	A function word that combines with a noun or pronoun or noun phrase to form a prepositional phrase that can have an adverbial or adjectival relation to some other word (e.g. with; in front (of); within)
prk	Prakrit			Any of the vernacular indic languages of north and central india (as distinguished from sanskrit) recorded from the 3rd century BC to the 4th century AD
pron	pronoun, pronominal adjective	sabbanāma	so; etaṃ; añña; sabba	A function word that is used in place of a noun or noun phrase (he; this; another; all)
prp	present participle	missakiriya	passanta; viharanta; jānanta	Verbal adjective, which describes the action that a noun is doing. (seeing; dwelling; knowing)
PRS	Padarūpasiddhi			
PTH	Paṭṭhānapāḷi	kicca	karaṇīya; veditabba; sikkhitabba	Verbal adjectives, they give more information about the noun they are describing. (e.g. ought to be done; can be known; should be practised)
PTP	Peṭakopadesapāḷi			
ptp	potential particle, future passive participle			
PV	Petavatthu			Book 7 of the Khuddaka Nikāya; lit. story about ghosts
PVa	Petavatthu Aṭṭhakathā, Paramatthadīpanī			
PYt	Pācityādiyojanāpāḷi, Vinaya sub-commentary			
reflx	reflexive verb		karomase; sikkhassu; bhāvayate	The reflexive voice contains the idea of an action coming back to the person who did the action, i.e. reflecting back to the doer. Reflexive verbs can be translated into English with a reflexive pronoun. (he himself, they themselves etc.)
sandhi	sandhi compound		evaṃ + eva > evam'eva	It refers to the changes that take place when the different parts of the speech are joined together.
SBS-PER	SBS Pāli English Recitations			"Download the latest version <a class=""link"" href=""https://github.com/sasanarakkha/pali-English-recitations/releases/latest"">here</a>"
SCPN	Syntax of the Case in the Pali Nikayas by O.H. de A. Wijesekera			"<a class=""link"" href=""https://www.ancient-buddhist-texts.net/Textual-Studies/Syntax-of-the-Cases/Syntax-of-the-Cases.pdf"">read online</a>"
SDM	Saddanītippakaraṇaṃ Dhātumālā			
SDt	Sāratthadīpanī Ṭīkā, Sub-commentary to Samantapāsādikā			Sub commentary to Samantapāsādikā
sg	singular number	ekatta; ekavacana	ajjhattaṃ - ind, adv, comp, acc <b>sg</b> of ajjhatta	The form of a word that is used to denote one in number
SN	Saṃyutta Nikāya			Book 3 of the Sutta Piṭaka; Collection of Connected Discourses; lit. connected collection 
SNa	Saṃyutta Nikāya Aṭṭhakathā, Sāratthappakāsinī			Commentary on the Saṃyutta Nikāya compiled by Ven. Buddhaghosa; “Revealer of Essential Meaning”; lit. shining essence of the goal
SNP	Sutta Nipāta			Book 5 of the Khuddaka Nikāya; “Sutta Collection”; lit. Irregular Discourses
SNPa	Sutta Nipāta Aṭṭhakathā, part of Paramatthajotikā			Commentary to Sutta Nipāta compiled by Ven. Buddhaghosa; part of  “Illumination of the Ultimate Truth”
SNt	Saṃyutta Nikāya Ṭīkā			
SPM	Saddanītippakaraṇaṃ Padamālā			
SPV	Saṃgāyanassa pucchā vissajjanā			
suffix	suffix	paccaya	-ima; -tama; -dhā	an affix that is added at the end of the word
superl	superlative adjective		pacchima; pāpiṭṭha; antima	increasing meaning of something; expresses a sense of the ‘most’ of something. (examples: lowest; highest)
TH	Theragāthā			Book 8 of the Khuddaka Nikāya; Verses of the Elder Monks
THa	Theragāthā Aṭṭhakathā			
THI	Therīgāthā			Book 9 of the Khuddaka Nikāya; Verses of the Elder Nuns
THIa	Therīgāthā Aṭṭhakathā			
trans	transitive verb	sakammaka	karoti; vadati; gacchati	A verb (or verb construction) that requires an object in the accusative case. (e.g. makes something; says to; goes to)
UD	Udāna			Book 3 of the Khuddaka Nikāya; Inspired Sayings; lit. breath up; sigh
UDa	Udāna Aṭṭhakathā, Paramatthadīpanī			
VAt	Vinayālaṅkāra Ṭīkā			
VBt	Vajirabuddhi Ṭīkā, Vinaya sub-commentary			
ve	verbal ending			
verb	verb	kriyapada, ākhyāta	pajānāti; upasaṅkami; carati	The word class that serves as the predicate of a sentence
VIBH	Vibhaṅgapāḷi			Book 2 of the Abhidhamma Piṭaka; lit. analysis
VIBHa	Vibhaṅga aṭṭhakathā			Commentary on the Vibhaṅga, Abhidhammapiṭaka
VIBHt	Vibhaṅga mūlaṭīkā			Sub commentary on the Vibhaṅga, Abhidhammapiṭaka
VIN	Vinaya Piṭaka			The first basket of the Tipiṭaka; the Discipline; lit. leading out
VINa	Vinaya Piṭaka Aṭṭhakathā, Samantapāsādikā			Ven. Buddhaghosa's commentary on the Vinaya Piṭaka; lit. making everything clear; (or) all-inspiring 
VINt	Vinaya Piṭaka Ṭīkā, Sāratthadīpanīṭīkā			
VISM	Visuddhimagga			Path of purification; commentarial treatise by Ven. Buddhaghosa
VISMa	Visuddhimagga Aṭṭhakathā			Commentary to Visuddhimagga 
VMVt	Vimativinodanī Tīkā, Vinaya sub-commentary			
voc	vocative case	āmantaṇavacana, ālapanavacana, sambodhana	āvuso - ind, <b>voc</b> sg and pl	Addressing form
VSa	Vinayasaṅgaha Aṭṭhakathā, Vinaya sub-commentary			
VV	Vimānavatthu			Book 6 of the Khuddaka Nikāya; story about Celestial Abodes
VVa	Vimānavatthu Aṭṭhakathā, Paramatthadīpanī			
VVt	Vinayavinicchaya Ṭīkā, Vinaya sub-commentary			
VVUt	Vinayavinicchaya Uttaravinicchayo, Vinaya sub-commentary			
wrt	with regard to			
x	no gender		pañca - card, <b>x</b> pl	Word does not have any specific gender
YAM	Yamakapāḷi			
